shutter_time,counts
0.00615673,40
0.00616787,27
0.006179,24
0.00619013,32
0.00620127,30
0.0062124,41
0.00622353,29
0.00623467,37
0.0062458,44
0.00625693,46
0.00626807,32
0.0062792,27
0.00629033,31
0.00630147,31
0.0063126,35
0.00632373,31
0.00633487,30
0.006346,37
0.00635713,42
0.00636827,40
0.0063794,33
0.00639053,34
0.00640167,38
0.0064128,35
0.00642393,40
0.00643507,38
0.0064462,29
0.00645733,38
0.00646847,33
0.0064796,38
0.00649073,21
0.00650187,34
0.006513,43
0.00652413,26
0.00653527,33
0.0065464,36
0.00655753,39
0.00656867,45
0.0065798,24
0.00659093,36
0.00660207,35
0.0066132,28
0.00662433,46
0.00663547,34
0.0066466,37
0.00665773,33
0.00666887,27
0.00668,32
0.00669113,48
0.00670227,28
0.0067134,29
0.00672453,34
0.00673567,50
0.0067468,44
0.00675793,36
0.00676907,37
0.0067802,30
0.00679133,34
0.00680247,45
0.0068136,37
0.00682473,36
0.00683587,42
0.006847,36
0.00685813,36
0.00686927,35
0.0068804,36
0.00689153,33
0.00690267,31
0.0069138,39
0.00692493,27
0.00693607,24
0.0069472,38
0.00695833,33
0.00696947,37
0.0069806,29
0.00699173,33
0.00700287,45
0.007014,36
0.00702513,32
0.00703627,27
0.0070474,31
0.00705853,56
0.00706967,26
0.0070808,43
0.00709193,31
0.00710307,34
0.0071142,39
0.00712533,34
0.00713647,28
0.0071476,45
0.00715873,32
0.00716987,27
0.007181,42
0.00719213,27
0.00720327,20
0.0072144,44
0.00722553,27
0.00723667,28
0.0072478,28
0.00725893,34
0.00727007,50
0.0072812,28
0.00729233,32
0.00730347,30
0.0073146,39
0.00732573,34
0.00733687,45
0.007348,24
0.00735913,41
0.00737027,23
0.0073814,34
0.00739253,37
0.00740367,21
0.0074148,41
0.00742593,32
0.00743707,35
0.0074482,28
0.00745933,41
0.00747047,42
0.0074816,43
0.00749273,37
0.00750387,36
0.007515,32
0.00752613,39
0.00753727,32
0.0075484,47
0.00755953,36
0.00757067,32
0.0075818,30
0.00759293,34
0.00760407,37
0.0076152,33
0.00762633,36
0.00763747,40
0.0076486,37
0.00765973,29
0.00767087,48
0.007682,31
0.00769313,39
0.00770427,40
0.0077154,34
0.00772653,39
0.00773767,26
0.0077488,21
0.00775993,39
0.00777107,41
0.0077822,37
0.00779333,36
0.00780447,25
0.0078156,29
0.00782673,31
0.00783787,36
0.007849,30
0.00786013,33
0.00787127,35
0.0078824,40
0.00789353,24
0.00790467,34
0.0079158,45
0.00792693,38
0.00793807,42
0.0079492,36
0.00796033,42
0.00797147,26
0.0079826,41
0.00799373,39
0.00800487,38
0.008016,30
0.00802713,33
0.00803827,35
0.0080494,27
0.00806053,40
0.00807167,27
0.0080828,44
0.00809393,35
0.00810507,39
0.0081162,30
0.00812733,37
0.00813847,26
0.0081496,32
0.00816073,35
0.00817187,24
0.008183,36
0.00819413,33
0.00820527,38
0.0082164,35
0.00822753,48
0.00823867,38
0.0082498,19
0.00826093,34
0.00827207,26
0.0082832,32
0.00829433,28
0.00830547,35
0.0083166,42
0.00832773,37
0.00833887,29
0.00835,41
0.00836113,42
0.00837227,23
0.0083834,36
0.00839453,41
0.00840567,36
0.0084168,31
0.00842793,34
0.00843907,45
0.0084502,41
0.00846133,30
0.00847247,31
0.0084836,33
0.00849473,35
0.00850587,35
0.008517,37
0.00852813,37
0.00853927,30
0.0085504,32
0.00856153,45
0.00857267,27
0.0085838,35
0.00859493,29
0.00860607,26
0.0086172,27
0.00862833,30
0.00863947,36
0.0086506,47
0.00866173,33
0.00867287,33
0.008684,27
0.00869513,36
0.00870627,40
0.0087174,41
0.00872853,37
0.00873967,31
0.0087508,36
0.00876193,34
0.00877307,44
0.0087842,43
0.00879533,46
0.00880647,37
0.0088176,36
0.00882873,46
0.00883987,36
0.008851,29
0.00886213,38
0.00887327,27
0.0088844,39
0.00889553,48
0.00890667,31
0.0089178,27
0.00892893,34
0.00894007,33
0.0089512,38
0.00896233,29
0.00897347,36
0.0089846,38
0.00899573,31
0.00900687,33
0.009018,51
0.00902913,31
0.00904027,30
0.0090514,29
